target_kb,actual_kb,method,scope,stage,AAE,ARE,WMRD,EAE,n_keys,sum_gt,sum_pred,seconds,slot_num,width,depth,bf_width,sketch_memory_bytes,model_param_bytes,hf_bytes,cm_bytes,bf_bytes,status
20,19.9755859375,ALSketch,TEST_SPLIT,TEST_SPLIT,5.347855227882038,3.9813787068673916,2.1277333333333335,1.174777207021064,,,,1.149,716,723,3,1808,,,11504,8724,227,ok
20,19.9755859375,ML-Sketch,TEST_SPLIT,TEST_SPLIT,3.5124453353338523,2.6536688069047494,1.397484917418162,1.0904054455259793,,,,1.884,716,723,3,1808,,,11504,8724,227,ok
20,19.9755859375,TalentSketch,TEST_SPLIT,TEST_SPLIT,1.5255084729905741,0.258606079386433,0.6069489711205165,1.5476932292723937,,,,0.867,716,723,3,1808,,,11504,8724,227,ok
20,19.9755859375,DeepSketch,TEST_SPLIT,TEST_SPLIT,1.7001868844751378,0.6273107388016299,0.6764476884365082,1.5516554000778964,,,,0.526,716,723,3,1808,,,11504,8724,227,ok
20,19.9755859375,ZoomSynth-GTT,TEST_SPLIT,TEST_SPLIT,6.792990293723329,4.984159649066348,2.702704404862722,0.17632643132270154,,,,0.755,716,723,3,1808,,,11504,8724,227,ok
20,19.9755859375,UCL-ML,ALL_GT,ALL_GT,8.424216524216524,5.288938404255972,1.2525787389066572,0.3753632531922122,3510,10000.0,37213.0,1.953,716,723,3,1808,29179,,11504,8724,227,ok
20,19.9755859375,HISR+HF,ALL_GT,ALL_GT,2.122583001155799,1.3797175878210854,0.716011501263298,0.580200229926481,3510,10000.0,10810.465532779694,654.688,716,723,3,1808,29179,1613262868,11504,8724,227,ok
40,39.7900390625,ALSketch,TEST_SPLIT,TEST_SPLIT,2.028485254691689,1.468910409292923,0.8070666666666667,0.8342954465541723,,,,1.075,1432,1446,3,3616,,,22928,17364,453,ok
40,39.7900390625,ML-Sketch,TEST_SPLIT,TEST_SPLIT,1.5571782885383985,1.0353676180641131,0.6195493350664775,0.7739577035993097,,,,0.621,1432,1446,3,3616,,,22928,17364,453,ok
40,39.7900390625,TalentSketch,TEST_SPLIT,TEST_SPLIT,1.5565292636686612,0.27680293923237137,0.6192911097049714,1.547352963328633,,,,0.528,1432,1446,3,3616,,,22928,17364,453,ok
40,39.7900390625,DeepSketch,TEST_SPLIT,TEST_SPLIT,1.7751901538058836,0.7562120533784435,0.7062889891942342,1.5524690428827714,,,,0.497,1432,1446,3,3616,,,22928,17364,453,ok
40,39.7900390625,ZoomSynth-GTT,TEST_SPLIT,TEST_SPLIT,4.78462288310956,3.268852655433975,1.9036419577598571,0.6841414480969519,,,,0.63,1432,1446,3,3616,,,22928,17364,453,ok
40,39.7900390625,UCL-ML,ALL_GT,ALL_GT,8.76951566951567,6.255110823476092,1.227239200207324,0.9177262620446172,3510,10000.0,40163.0,1.999,1432,1446,3,3616,58109,,22928,17364,453,ok
40,39.7900390625,HISR+HF,ALL_GT,ALL_GT,1.0571273241114285,0.7151235336184842,0.3624996675830587,0.17698575542393158,3510,10000.0,10471.836194337651,1138.722,1432,1446,3,3616,58109,1613262868,22928,17364,453,ok
60,59.8388671875,ALSketch,TEST_SPLIT,TEST_SPLIT,1.103887399463807,0.7685256664289188,0.4392,0.6081978518794386,,,,1.115,2149,2170,3,5424,,,34448,26148,679,ok
60,59.8388671875,ML-Sketch,TEST_SPLIT,TEST_SPLIT,0.8942634242389541,0.5464473752177473,0.35579760772387187,0.5584083151348569,,,,0.658,2149,2170,3,5424,,,34448,26148,679,ok
60,59.8388671875,TalentSketch,TEST_SPLIT,TEST_SPLIT,1.5477264812540752,0.2711416850232215,0.6157887760082881,1.5488682231862523,,,,0.532,2149,2170,3,5424,,,34448,26148,679,ok
60,59.8388671875,DeepSketch,TEST_SPLIT,TEST_SPLIT,1.7804684912231588,0.7637362215197881,0.7083890637079875,1.5524113561323372,,,,0.537,2149,2170,3,5424,,,34448,26148,679,ok
60,59.8388671875,ZoomSynth-GTT,TEST_SPLIT,TEST_SPLIT,4.564019137588966,3.2658784119668596,1.8158710808753968,0.8807155976896084,,,,0.641,2149,2170,3,5424,,,34448,26148,679,ok
60,59.8388671875,UCL-ML,ALL_GT,ALL_GT,4.665242165242165,3.5559991965837825,0.904921112983891,0.9590997878655152,3510,10000.0,26191.0,2.642,2149,2170,3,5424,87423,,34448,26148,679,ok
60,59.8388671875,HISR+HF,ALL_GT,ALL_GT,0.4774243828268418,0.3110254467963339,0.16583333788877447,0.06894514640584326,3510,10000.0,10210.165278662582,1169.087,2149,2170,3,5424,87423,1613262868,34448,26148,679,ok
80,79.8173828125,ALSketch,TEST_SPLIT,TEST_SPLIT,0.6367292225201072,0.42882451452687453,0.25333333333333335,0.452968466665725,,,,1.049,2865,2893,3,7233,,,46064,34764,905,ok
80,79.8173828125,ML-Sketch,TEST_SPLIT,TEST_SPLIT,0.671504658065117,0.3264927443070301,0.2671693199555079,0.5625609236158251,,,,0.622,2865,2893,3,7233,,,46064,34764,905,ok
80,79.8173828125,TalentSketch,TEST_SPLIT,TEST_SPLIT,1.5602834304599915,0.2808221394752521,0.6207847675323487,1.5496761116198972,,,,0.53,2865,2893,3,7233,,,46064,34764,905,ok
80,79.8173828125,DeepSketch,TEST_SPLIT,TEST_SPLIT,1.7793251411844515,0.7628054178158018,0.7079341628392537,1.55240204269872,,,,0.541,2865,2893,3,7233,,,46064,34764,905,ok
80,79.8173828125,ZoomSynth-GTT,TEST_SPLIT,TEST_SPLIT,4.555839995676327,3.2247024748049764,1.8126168729464214,0.9770442424786996,,,,0.621,2865,2893,3,7233,,,46064,34764,905,ok
80,79.8173828125,UCL-ML,ALL_GT,ALL_GT,3.2165242165242165,2.49543398834764,0.7229764344262295,0.8457990006030816,3510,10000.0,21232.0,2.419,2865,2893,3,7233,116497,,46064,34764,905,ok
80,79.8173828125,HISR+HF,ALL_GT,ALL_GT,0.303839715430281,0.21440264516236635,0.10650184593339403,0.009821975990607967,3510,10000.0,10027.39749369712,1061.368,2865,2893,3,7233,116497,1613262868,46064,34764,905,ok
100,99.4443359375,ALSketch,TEST_SPLIT,TEST_SPLIT,0.4584450402144772,0.28222062499575845,0.1824,0.3743348396893804,,,,1.085,3580,3616,3,9041,,,57296,43404,1131,ok
